X,Y,OBJECTID,TERM_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,PIPE_IN,PIPE_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS
-86.877366,33.457636,11,ANLTK01011,CIRCLE K TERMINAL ALABAMA,2529 28TH STREET SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-6425,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.457636,-86.877366,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/09/14 00:00:00+00,NOT AVAILABLE,T-63-AL-2310,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,157067,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NOT AVAILABLE
-86.880888,33.45745,12,ANLTK01012,MOTIVA ENTERPRISES LLC,2601 WILSON ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-3015,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.45745,-86.880888,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,NOT AVAILABLE,T-63-AL-2308,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,360250,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,NO,YES,NOT AVAILABLE
-86.85120541,33.47521532,13,ANLTK01013,BUCKEYE TERMINALS LLC,1600 MIMS AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-1824,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.47521532,-86.85120541,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/10/29 00:00:00+00,www.transmontaigne.com,T-63-AL-2312,BUCKEYE TERMINALS LLC,TRANSMONTAIGNE PARTNERS LP,WITHIN 40 FEET,"REFINED, CHEMICALS",178000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
-88.06142937,32.79065728,14,ANLTK01014,ENTERPRISE PRODUCTS BOLIGEE TERMINAL,2081 COUNTRY ROAD 89,BOLIGEE,AL,35443,NOT AVAILABLE,(205) 336-9898,MARINE TERMINAL,IN SERVICE,-999,GREENE,1063,USA,32.79065728,-88.06142937,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/09/14 00:00:00+00,http://www.enterpriseproducts.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,501381,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NOT AVAILABLE
-88.02238782,31.02332388,15,ANLTK01015,ERGON OIL PURCHASING INCORPORATED,15950 HIGHWAY 43 NORTH,BUCKS,AL,36512,NOT AVAILABLE,NOT AVAILABLE,BULK TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,31.02332388,-88.02238782,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2020/04/14 00:00:00+00,ergonterminaling.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CRUDE,80000,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,YES,NO,NO,NO,NOT AVAILABLE
-87.169612,33.759471,16,ANLTK01016,VULCAN ASPHALT,4215 RIVER RD,CORDOVA,AL,35550,NOT AVAILABLE,(205) 251-2747,ASPHALT TERMINAL,IN SERVICE,-999,WALKER,1127,USA,33.759471,-87.169612,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2020/04/15 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,385000,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
-86.83163,33.288589,17,ANLTK01017,PLANTATION PIPELINE COMPANY - HELENA TANK FARM,900 SHELBY COUNTY ROAD 52E,HELENA,AL,35080,NOT AVAILABLE,(205) 663-8840,BREAKOUT TANKS - PRODUCTS,IN SERVICE,-999,SHELBY,1117,USA,33.288589,-86.83163,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2020/04/14 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",584501,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NOT AVAILABLE
-88.033001,30.696567,18,ANLTK01018,ALABAMA BULK TERMINAL COMPANY LLC BLAKELEY ISLAND TERMINAL,195 COCHRANE CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(251) 438-9891,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.696567,-88.033001,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/03/01 00:00:00+00,NOT AVAILABLE,T-63-AL-2317,"ALABAMA BULK TERMINAL CO., LLC","ALABAMA BULK TERMINAL CO., LLC",WITHIN 40 FEET,"CRUDE, ASPHALT, CHEMICALS",1163295,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,YES,NO,NO,NO,NOT AVAILABLE
-88.034313,30.698566,19,ANLTK01019,RADCLIFF/ECONOMY MARINE SERVICES - MOBILE NORTH,145 COCHRANE CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(251) 432-3613,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.698566,-88.034313,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,https://www.economyboat.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,120000,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE
-88.047691,30.733263,20,ANLTK01020,BARCLIFF LLC,101 BAY BRIDGE ROAD,MOBILE,AL,36610,NOT AVAILABLE,(251) 456-3131,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.733263,-88.047691,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,www.bp.com,T-63-AL-2336,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,248085,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
-88.038356,30.721598,21,ANLTK01021,DUNHILL TERMINALS,1437 COCHRAND CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,NOT AVAILABLE,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.721598,-88.038356,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2015/10/28 00:00:00+00,urban.cityofmobile.org,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,0,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
-88.036921,30.718542,22,ANLTK01022,CENTERPOINT TERMINAL LLC - BLAKELEY TERMINAL,1257 COCHRANE CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(713) 293-3350,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.718542,-88.036921,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/10/31 00:00:00+00,www.worldpointlp.com,T-63-AL-2339,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, BIOFUEL, CHEMICALS",1182000,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO
-88.052739,30.763104,23,ANLTK01023,CENTER POINT TERMINAL COMPANY - CHICKASAW,200 VIADUCT ROAD (REFINERY TERMINAL),MOBILE,AL,36611,NOT AVAILABLE,(713) 293-3350,REFINERY TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.763104,-88.052739,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/09/28 00:00:00+00,www.worldpointlp.com,T-63-AL-2316,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, ASPHALT, BIOFUEL, CHEMICALS",644000,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO
-88.059254,30.765714,24,ANLTK01024,CENTER POINT CHICKASAW LLC - CHICKSAW NORTH TERMINAL,901 VIADUCT RD,MOBILE,AL,36611,NOT AVAILABLE,(713) 293-3350,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.765714,-88.059254,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/11/06 00:00:00+00,NOT AVAILABLE,NONE,CENTER POINT CHICKASAW LLC,CENTER POINT CHICKASAW LLC,WITHIN 40 FEET,"CRUDE, REFINED",329071,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,YES,NO,NO,YES,NOT AVAILABLE
-88.036095,30.707469,25,ANLTK01025,ZENITH ENERGY US - MOBILE TERMINAL,835 COCHRAN CAUSEWAY (HIGHWAY 90/98 BLAKELEY ISLAND),MOBILE,AL,36603,NOT AVAILABLE,(251) 432-7666,ASPHALT TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.707469,-88.036095,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/06/22 00:00:00+00,www.zenithem.com,NONE,NOT AVAILABLE,ZENITH ENERGY US LP,WITHIN 40 FEET,"CRUDE, REFINED, ASPHALT, CHEMICALS",1093000,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO
-88.036335,30.717428,26,ANLTK01026,"MIDSTREAM FUEL SERVICES, INCORPORATED - MARTIN COMPANY",1231 COCHRAN CAUSEWAY (HIGHWAY 90/98 BLAKELEY ISLAND),MOBILE,AL,36603,NOT AVAILABLE,(334) 433-4972,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.717428,-88.036335,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/23 00:00:00+00,http://www.themartincompanies.com/,T-72-AL-2339,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, CHEMICALS",189000,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,YES,NO,NO,NO,NOT AVAILABLE
-88.045651,30.729866,27,ANLTK01027,PLAINS MARKETING TERMINAL / EOTT ENERGY,MAGAZINE POINT,MOBILE,AL,36610,NOT AVAILABLE,(251) 456-4688,MARINE TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.729866,-88.045651,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2015/10/28 00:00:00+00,https://www.plainsallamerican.com/,T-72-AL-2338,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CRUDE,1950000,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,YES,NO,NO,NO,NOT AVAILABLE
-88.03247,30.694773,28,ANLTK01028,RADCLIFF/ECONOMY MARINE SERVICES - MOBILE SOUTH,115 COCHRAN CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(251) 433-0066,BULK TERMINAL,IN SERVICE,-999,MOBILE,1097,USA,30.694773,-88.03247,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,https://www.economyboat.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",130000,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NOT AVAILABLE
-86.402883,32.401778,29,ANLTK01030,BUCKEYE TERMINALS LLC - BIRMINGHAM TERMINAL,4951 BIRMINGHAM HIGHWAY,MONTGOMERY,AL,36108,NOT AVAILABLE,(800) 609-4996,BULK TERMINAL,IN SERVICE,-999,MONTGOMERY,1101,USA,32.401778,-86.402883,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/10/12 00:00:00+00,http://www.buckeye.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, BIOFUEL, CHEMICALS",154200,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO
-86.384132,32.352153,30,ANLTK01031,SOUTH FLORIDA MATERIALS CORP (VECENERGY) - MONTGOMERY TERMINAL,200 HUNTER LOOP RD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 265-7071,BULK TERMINAL,IN SERVICE,-999,MONTGOMERY,1101,USA,32.352153,-86.384132,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,http://www.vecenergy.com/,T-63-AL-2323,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",103450,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NOT AVAILABLE
-86.381215,32.352969,31,ANLTK01032,"MAGELLAN MIDSTREAM PARTNERS, L.P.",3560 WELL ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 264-7453,BULK TERMINAL,IN SERVICE,-999,MONTGOMERY,1101,USA,32.352969,-86.381215,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,http://www.magellanlp.com/,T-63-AL-2322,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,104210,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NO
-86.385325,32.35335,32,ANLTK01033,MARATHON PETROLEUM COMPANY LLC,320 HUNTER LOOP ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 264-4572,BULK TERMINAL,IN SERVICE,-999,MONTGOMERY,1101,USA,32.35335,-86.385325,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,NOT AVAILABLE,T-63-AL-2325,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT",203355,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
-86.386649,32.353988,33,ANLTK01034,"MURPHY OIL USA, INCORPORATED - MONTGOMERY TERMINAL",420 HUNTER LOOP ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 263-5185,BULK TERMINAL,IN SERVICE,-999,MONTGOMERY,1101,USA,32.353988,-86.386649,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,www.murphyoilcorp.com,T-63-AL-2327,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",211812,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NOT AVAILABLE
-86.387377,32.354767,34,ANLTK01035,EPIC MIDSTREAM LLC - MONTGOMERY TERMINAL,520 HUNTER LOOP ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 269-2972,BULK TERMINAL,IN SERVICE,-999,MONTGOMERY,1101,USA,32.354767,-86.387377,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,http://www.epicmidstreamllc.com/,T-63-AL-2326,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",162256,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO
-87.6394,32.986114,35,ANLTK01036,EPIC MIDSTREAM LLC - MOUNDVILLE TERMINAL,872 2ND AVENUE,MOUNDVILLE,AL,35474,NOT AVAILABLE,(205) 371-2250,BULK TERMINAL,IN SERVICE,-999,HALE,1065,USA,32.986114,-87.6394,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/09/14 00:00:00+00,http://www.epicmidstreamllc.com/,T-63-AL-2330,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",310000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO
-87.117904,33.580738,36,ANLTK01037,"MIDSOUTH PAVING, INCORPORATED AT BIRMINGPORT LIQUID TERMINAL",2450 ATWOOD ROAD,MULGA,AL,35118,NOT AVAILABLE,NOT AVAILABLE,ASPHALT TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.580738,-87.117904,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2020/06/17 00:00:00+00,midsouthpaving.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,150000,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
