OBJECTID,NAME,TERM_ID,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,PIPE_IN,PIPE_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS,RENEWABLE_DIESEL
11,CIRCLE K TERMINAL ALABAMA,ANLTK01011,2529 28TH STREET SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-6425,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.457636,-86.877366,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-63-AL-2310,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,157067,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
12,Shell Birmingham,ANLTK01012,2601 WILSON ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-3015,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.45745,-86.880888,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.shell.com/,T-63-AL-2308,Shell,Shell,WITHIN 40 FEET,REFINED,360250,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
13,BUCKEYE TERMINALS LLC,ANLTK01013,1600 MIMS AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-1824,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.47521532,-86.85120541,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-63-AL-2312,BUCKEYE TERMINALS LLC,TRANSMONTAIGNE PARTNERS LP,WITHIN 40 FEET,"REFINED, CHEMICALS",178000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO
14,ENTERPRISE PRODUCTS BOLIGEE TERMINAL,ANLTK01014,2081 COUNTRY ROAD 89,BOLIGEE,AL,35443,NOT AVAILABLE,(205) 336-9898,MARINE TERMINAL,IN SERVICE,GREENE,1063,32.79065728,-88.06142937,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.enterpriseproducts.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,501381,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
15,ERGON OIL PURCHASING INCORPORATED,ANLTK01015,15950 HIGHWAY 43 NORTH,BUCKS,AL,36512,NOT AVAILABLE,NOT AVAILABLE,BULK TERMINAL,IN SERVICE,MOBILE,1097,31.02332388,-88.02238782,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,ergonterminaling.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CRUDE,80000,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
16,VULCAN ASPHALT,ANLTK01016,4215 RIVER RD,CORDOVA,AL,35550,NOT AVAILABLE,(205) 251-2747,ASPHALT TERMINAL,IN SERVICE,WALKER,1127,33.759471,-87.169612,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,385000,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
17,PLANTATION PIPELINE COMPANY - HELENA TANK FARM,ANLTK01017,900 SHELBY COUNTY ROAD 52E,HELENA,AL,35080,NOT AVAILABLE,(205) 663-8840,BREAKOUT TANKS - PRODUCTS,IN SERVICE,SHELBY,1117,33.288589,-86.83163,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",584501,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
18,ALABAMA BULK TERMINAL COMPANY LLC BLAKELEY ISLAND TERMINAL,ANLTK01018,195 COCHRANE CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(251) 438-9891,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.696567,-88.033001,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-63-AL-2317,"ALABAMA BULK TERMINAL CO., LLC","ALABAMA BULK TERMINAL CO., LLC",WITHIN 40 FEET,"CRUDE, ASPHALT, CHEMICALS",1163295,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
19,RADCLIFF/ECONOMY MARINE SERVICES - MOBILE NORTH,ANLTK01019,145 COCHRANE CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(251) 432-3613,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.698566,-88.034313,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.economyboat.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,120000,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
20,BARCLIFF LLC,ANLTK01020,101 BAY BRIDGE ROAD,MOBILE,AL,36610,NOT AVAILABLE,(251) 456-3131,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.733263,-88.047691,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.bp.com,T-63-AL-2336,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,248085,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
21,DUNHILL TERMINALS,ANLTK01021,1437 COCHRAND CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,NOT AVAILABLE,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.721598,-88.038356,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,urban.cityofmobile.org,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,0,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
22,CENTERPOINT TERMINAL LLC - BLAKELEY TERMINAL,ANLTK01022,1257 COCHRANE CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(713) 293-3350,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.718542,-88.036921,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.worldpointlp.com,T-63-AL-2339,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, BIOFUEL, CHEMICALS",1182000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO
23,CENTER POINT TERMINAL COMPANY - CHICKASAW,ANLTK01023,200 VIADUCT ROAD (REFINERY TERMINAL),MOBILE,AL,36611,NOT AVAILABLE,(713) 293-3350,REFINERY TERMINAL,IN SERVICE,MOBILE,1097,30.763104,-88.052739,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.worldpointlp.com,T-63-AL-2316,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, ASPHALT, BIOFUEL, CHEMICALS",644000,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO
24,CENTER POINT CHICKASAW LLC - CHICKSAW NORTH TERMINAL,ANLTK01024,901 VIADUCT RD,MOBILE,AL,36611,NOT AVAILABLE,(713) 293-3350,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.765714,-88.059254,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,CENTER POINT CHICKASAW LLC,CENTER POINT CHICKASAW LLC,WITHIN 40 FEET,"CRUDE, REFINED",329071,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO
25,ZENITH ENERGY US - MOBILE TERMINAL,ANLTK01025,835 COCHRAN CAUSEWAY (HIGHWAY 90/98 BLAKELEY ISLAND),MOBILE,AL,36603,NOT AVAILABLE,(251) 432-7666,ASPHALT TERMINAL,IN SERVICE,MOBILE,1097,30.707469,-88.036095,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.zenithem.com,NONE,NOT AVAILABLE,ZENITH ENERGY US LP,WITHIN 40 FEET,"CRUDE, REFINED, ASPHALT, CHEMICALS",1093000,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
26,"MIDSTREAM FUEL SERVICES, INCORPORATED - MARTIN COMPANY",ANLTK01026,1231 COCHRAN CAUSEWAY (HIGHWAY 90/98 BLAKELEY ISLAND),MOBILE,AL,36603,NOT AVAILABLE,(334) 433-4972,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.717428,-88.036335,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.themartincompanies.com/,T-72-AL-2339,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, CHEMICALS",189000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
27,PLAINS MARKETING TERMINAL / EOTT ENERGY,ANLTK01027,MAGAZINE POINT,MOBILE,AL,36610,NOT AVAILABLE,(251) 456-4688,MARINE TERMINAL,IN SERVICE,MOBILE,1097,30.729866,-88.045651,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.plainsallamerican.com/,T-72-AL-2338,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CRUDE,1950000,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
28,RADCLIFF/ECONOMY MARINE SERVICES - MOBILE SOUTH,ANLTK01028,115 COCHRAN CAUSEWAY,MOBILE,AL,36603,NOT AVAILABLE,(251) 433-0066,BULK TERMINAL,IN SERVICE,MOBILE,1097,30.694773,-88.03247,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.economyboat.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",130000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
29,BUCKEYE TERMINALS LLC - BIRMINGHAM TERMINAL,ANLTK01030,4951 BIRMINGHAM HIGHWAY,MONTGOMERY,AL,36108,NOT AVAILABLE,(800) 609-4996,BULK TERMINAL,IN SERVICE,MONTGOMERY,1101,32.401778,-86.402883,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.buckeye.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, BIOFUEL, CHEMICALS",154200,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO
30,SOUTH FLORIDA MATERIALS CORP (VECENERGY) - MONTGOMERY TERMINAL,ANLTK01031,200 HUNTER LOOP RD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 265-7071,BULK TERMINAL,IN SERVICE,MONTGOMERY,1101,32.352153,-86.384132,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.vecenergy.com/,T-63-AL-2323,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",103450,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
31,"MAGELLAN MIDSTREAM PARTNERS, L.P.",ANLTK01032,3560 WELL ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 264-7453,BULK TERMINAL,IN SERVICE,MONTGOMERY,1101,32.352969,-86.381215,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-63-AL-2322,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,104210,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
32,MARATHON PETROLEUM COMPANY LLC,ANLTK01033,320 HUNTER LOOP ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 264-4572,BULK TERMINAL,IN SERVICE,MONTGOMERY,1101,32.35335,-86.385325,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-63-AL-2325,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT",203355,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
33,"MURPHY OIL USA, INCORPORATED - MONTGOMERY TERMINAL",ANLTK01034,420 HUNTER LOOP ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 263-5185,BULK TERMINAL,IN SERVICE,MONTGOMERY,1101,32.353988,-86.386649,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.murphyoilcorp.com,T-63-AL-2327,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",211812,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
34,EPIC MIDSTREAM LLC - MONTGOMERY TERMINAL,ANLTK01035,520 HUNTER LOOP ROAD,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 269-2972,BULK TERMINAL,IN SERVICE,MONTGOMERY,1101,32.354767,-86.387377,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.epicmidstreamllc.com/,T-63-AL-2326,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",162256,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO
35,EPIC MIDSTREAM LLC - MOUNDVILLE TERMINAL,ANLTK01036,872 2ND AVENUE,MOUNDVILLE,AL,35474,NOT AVAILABLE,(205) 371-2250,BULK TERMINAL,IN SERVICE,HALE,1065,32.986114,-87.6394,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.epicmidstreamllc.com/,T-63-AL-2330,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",310000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
36,"MIDSOUTH PAVING, INCORPORATED AT BIRMINGPORT LIQUID TERMINAL",ANLTK01037,2450 ATWOOD ROAD,MULGA,AL,35118,NOT AVAILABLE,NOT AVAILABLE,ASPHALT TERMINAL,IN SERVICE,JEFFERSON,1073,33.580738,-87.117904,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,midsouthpaving.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,150000,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
37,"ERGON TERMINALING, INCORPORATED - BIRMINGPORT",ANLTK01038,7890 BIRMINGPORT ROAD,BIRMINGHAM,AL,35118,NOT AVAILABLE,(205) 436-3413,MARINE TERMINAL,IN SERVICE,JEFFERSON,1073,33.560697,-87.108618,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://ergonterminaling.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,100000,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
38,COLONIAL PIPELINE COMPANY,ANLTK01039,3507 COUNTY ROAD 52,PELHAM,AL,35124,NOT AVAILABLE,NOT AVAILABLE,BREAKOUT TANKS - PRODUCTS,IN SERVICE,SHELBY,1117,33.28527778,-86.80166667,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,colpipe.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,450000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
39,SHELL CHEMICAL LP - MOBILE,ANLTK01040,400 INDUSTRIAL PARKWAY,SARALAND,AL,36571,NOT AVAILABLE,(251) 675-7040,REFINERY TERMINAL,IN SERVICE,MOBILE,1097,30.788819,-88.055503,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.shell.us/,T-63-AL-2334,SHELL CHEMICAL LP,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, CHEMICALS",1300000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
40,"MURPHY OIL USA, INCORPORATED - SHEFFIELD TERMINAL",ANLTK01041,136 BLACKWELL ROAD,SHEFFIELD,AL,35660,NOT AVAILABLE,(256) 383-3541,MARINE TERMINAL,IN SERVICE,COLBERT,1033,34.750775,-87.719158,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.murphyoilcorp.com,T-63-AL-2335,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",115095,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
41,HUNT REFINING CO,ANLTK01042,1855 FAIRLAWN ROAD,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 391-3333,REFINERY TERMINAL,IN SERVICE,TUSCALOOSA,1125,33.201848,-87.606486,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-63-AL-2329,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,2259000,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
42,WARRIOR ASPHALT REFINING CORPORATION - HUNT REFINING,ANLTK01043,3100 WARRIOR RD,TUSCALOOSA,AL,35404,NOT AVAILABLE,(205) 553-2060,MARINE TERMINAL - ASPHALT,IN SERVICE,TUSCALOOSA,1125,33.247963,-87.489833,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,warriorasphalt.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, ASPHALT",300000,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
43,BIRMINGHAM,ANLTK01044,1904 16TH STREET N,BIRMINGHAM,AL,35204,NOT AVAILABLE,NOT AVAILABLE,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.535475,-86.829546,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.blendstarllc.com,NONE,BIRMINGHAM BIOENERGY PARTNERS LLC,NOT AVAILABLE,WITHIN 40 FEET,BIOFUEL,2857,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
44,ZENITH ENERGY US - BLAKELEY TERMINAL,ANLTK01046,1437 COCHRAN CAUSEWAY N,BLAKELEY,AL,36603,NOT AVAILABLE,(251) 405-0930,BULK TERMINAL,IN SERVICE,BALDWIN,1003,30.69494149,-88.03177647,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.zenithem.com/,NONE,ARC TERMINALS HOLDINGS LLC,ZENITH ENERGY US LP,WITHIN 40 FEET,"CRUDE, REFINED, ASPHALT",708000,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO
45,DIXIE PIPELINE DEMOPOLIS TERMINAL,ANLTK01047,4057 U. S. HIGHWAY 80,DEMOPOLIS,AL,36742,NOT AVAILABLE,(334) 289-1797,LPG TERMINAL,IN SERVICE,MARENGO,1091,32.507838,-87.770343,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.enterpriseproducts.com,NONE,ENTERPRISE PROPANE AND STORAGE LLC,NOT AVAILABLE,WITHIN 40 FEET,REFINED,3184,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
